Item,label
Acid,1
Ale,1
Ammonia,1
Beer,1
Bleach,1
Blood,1
Bonobo,4
Brandy,1
Chimpanzee,4
Coolant,1
Dingo,4
Emulsion,1
Ethane,1
Ethylene,1
Ferret,4
Fluorine,1
Gel,1
Gibbon,4
Gravy,1
Helium,1
Honey,1
Horse,4
Jackdaw,4
Juice,1
Ketchup,1
Latex,1
Lava,1
Liqueur,1
Liquidambar,1
Lotion,1
Macaque,4
Mandrill,4
Mayonnaise,1
Milk,1
Molasses,1
Nitrogen,1
Ocelot,4
Octopus,4
Orangutan,4
Oxygen,1
Ozone,1
Petrol,1
Pigeon,4
Plasma,1
Platypus,4
Propane,1
Raccoon,4
Raven,4
Resin,1
Rum,1
Serum,1
Slurry,1
Sweat,1
Syrup,1
Tamarin,4
Tequila,1
Toad,4
Tonic,1
Vapor,1
Vinegar,1
Vodka,1
Water,1
Wax,1
Wine,1
Wolverine,4
Wombat,4
Aardvark,4
Acorn,1
Adapter,1
Afro,1
Agent,5
Airplane,5
Alley,1
Alligator,4
Aluminum,1
Ambulance,5
Anchor,1
Android,5
Anvil,1
Apple,1
Apron,1
Arch,1
Armadillo,4
Arrow,1
Artist,5
Astronaut,5
Atlas,1
Award,1
Axe,1
Axle,1
Baboon,4
Backpack,1
Badge,1
Badger,4
Bait,1
Baker,5
Balloon,3
Bamboo,2
Banana,1
Bandit,5
Barbet,4
Bark,2
Barn,1
Baron,5
Barred,1
Barrette,1
Basin,1
Basket,1
Bath,1
Battery,1
Beak,1
Bean,1
Beard,1
Beaver,4
Beet,1
Believer,5
Bell,1
Belt,1
Bench,1
Beret,1
Bible,1
Bicycle,5
Bill,1
Binoculars,1
Birch,2
Bird,4
Bishop,5
Bison,4
Blade,1
Blanket,1
Blinds,1
Blizzard,1
Blush,1
Booby,4
Boot,1
Boreal,1
Bottle,1
Boulder,1
Bowtie,1
Bracelet,1
Braces,1
Braids,1
Branch,2
Bridge,1
Brim,1
Broccoli,2
Bronze,1
Brooch,1
Brush,1
Brush,1
Buck,4
Buffalo,4
Bugle,1
Bullet,1
Bunting,3
Bur,1
Bus,5
Bush,2
Butterfly,4
Button,1
Cabinet,1
Cable,1
Cactus,2
Calf,4
Camera,1
Canary,4
Cannon,1
Canoe,5
Cap,1
Cape,1
Captain,5
Car,5
Cardboard,1
Carpet,1
Carrot,1
Castle,1
Cat,4
Catheter,1
Cedar,2
Ceiling,1
Celery,2
Ceramic,1
Chain,1
Chair,1
Chalk,1
Charger,1
Cheetah,4
Chef,5
Cherry,1
Chick,4
Chime,1
Chimney,1
Chipmunk,4
Citizen,5
City,1
Clam,4
Claw,1
Client,5
Climber,5
Closet,1
Cloth,1
Cloud,1
Coal,1
Cockatoo,4
Cod,4
College,1
Cologne,1
Colt,4
Comb,1
Comb,1
Comedian,5
Concrete,1
Copper,1
Cord,1
Cormorant,4
Corn,2
Cotton,1
Count,5
Country,1
Cow,4
Coyote,4
Cradle,1
Crane,1
Crane,1
Crested,1
Crew,5
Crocodile,4
Crow,4
Crystal,1
Cub,4
Cucumber,1
Cup,1
Customer,5
Cyclone,1
Dam,1
Dancer,5
Deer,4
Demon,4
Den,1
Dentist,5
Desert,1
Desk,1
Detective,5
Devil,4
Dew,1
Dial,1
Diary,1
Director,5
Diver,5
Dock,1
Doe,4
Dolphin,4
Door,1
Dragon,4
Drake,4
Drawer,1
Drill,1
Driver,5
Drone,5
Drum,1
Duck,4
Duke,5
Dungeon,1
Dust,1
Dye,1
Earrings,1
Eel,4
Egg,1
Eggplant,1
Elephant,4
Elevator,5
Elf,4
Elk,4
Ember,1
Emerald,1
Emperor,5
Engine,1
Engineer,5
Epilator,1
Ewe,4
Explorer,5
Falcon,4
Farmer,5
Faucet,1
Fedora,1
Fern,2
Fin,1
Finch,4
Fir,2
Fireplace,1
Firetruck,5
Flag,1
Flame,1
Flamingo,4
Flap,1
Flashlight,1
Flask,1
Flax,1
Floor,1
Floss,1
Flower,2
Flute,1
Flycatcher,4
Foal,4
Foam,1
Follower,5
Forceps,1
Forest,2
Fork,1
Forklift,5
Fortress,1
Fox,4
Frost,1
Fulmar,4
Fungus,3
Garden,2
Gardener,5
Garlic,1
Gear,1
General,5
Ghost,4
Giant,4
Gill,1
Giraffe,4
Globe,1
Gloves,1
Glucometer,1
Goat,4
Goblin,4
Goggles,1
Gold,1
Gondola,5
Gong,1
Gorilla,4
Gramophone,1
Granite,1
Grapes,1
Grebe,4
Grid,1
Guardian,5
Guest,5
Guillemot,4
Guitar,1
Gull,4
Gun,1
Gurney,1
Hairband,1
Hairbrush,1
Hammer,1
Handle,1
Harbor,1
Hare,4
Harp,1
Harpoon,1
Hat,1
Hatchet,1
Hawk,4
Headphones,1
Hedge,2
Hedgehog,4
Helmet,1
Hen,4
Heron,4
Hiker,5
Hill,1
Hinge,1
Hoe,1
Hood,1
Hoof,1
Hoopoe,4
Horn,1
Hose,1
Hospital,1
Host,5
House,1
Hummingbird,4
Hurricane,1
Hyena,4
Hyperloop,5
Ibis,4
Ice,1
Imam,5
Inhaler,1
Iron,1
Island,1
Jacket,1
Jay,4
Jetpack,5
Jewel,1
Jogger,5
Journal,1
Joystick,1
Jungle,2
Kale,2
Kangaroo,4
Kayak,5
Keel,1
Keep,1
Kilt,1
Kimono,1
Kingfisher,4
Kit,1
Kite,4
Knife,1
Knight,5
Knob,1
Koala,4
Ladder,1
Ladybug,4
Lamp,1
Lantern,1
Laptop,1
Lapwing,4
Lathe,1
Lead,1
Leader,5
Lemon,1
Lemur,4
Leopard,4
Lettuce,2
Library,1
Lieutenant,5
Light,1
Lighthouse,1
Lime,1
Lion,4
Lipstick,1
Log,1
Loofah,1
Loon,4
Lung,1
Magazine,1
Maglev,5
