Item,Rigidity
Acid,1
Ale,1
Ammonia,1
Bat,1
Bleach,1
Blood,1
Bonobo,1
Brandy,1
Broth,1
Chimpanzee,1
Chlorine,1
Cider,1
Cockatoo,1
Coolant,1
Dingo,1
Donkey,1
Emulsion,1
Ethane,1
Ether,1
Ferret,1
Fluorine,1
Gazelle,1
Gel,3
Glycerin,2
Gravy,2
Hawk,1
Helium,1
Horse,1
Hydrogen,1
Jackdaw,1
Juice,1
Ketchup,2
Latex,3
Lava,4
Liqueur,1
Lotion,1
Macaque,1
Mandrill,1
Mayonnaise,2
Mercury,2
Methane,1
Milk,1
Molasses,2
Ocelot,1
Octopus,1
Oxygen,1
Ozone,1
Perfume,1
Pesticide,1
Petrol,1
Pigeon,1
Plasma,1
Platypus,1
Propane,1
Raccoon,1
Raven,1
Serum,1
Slime,3
Stock,1
Sweat,1
Syrup,2
Tamarin,1
Tequila,1
Toad,1
Tonic,1
Vapor,1
Vinegar,1
Vodka,1
Water,1
Wax,3
Whiskey,1
Wine,1
Wolverine,1
Aardvark,3
Acorn,3
Actor,2
Afro,1
Airplane,5
Alarm,4
Albatross,2
Alley,4
Alligator,4
Altar,3
Ambulance,5
Anchor,5
Android,5
Angel,1
Ant,2
Anvil,5
Apple,2
Arch,4
Armadillo,3
Arrow,4
Artist,2
Ash,1
Atlas,2
Award,4
Axle,5
Baboon,3
Badge,4
Badger,3
Baker,2
Ball,3
Balloon,2
Bamboo,4
Banana,2
Bandit,2
Barbet,3
Bark,3
Barley,3
Barn,4
Barred,3
Barrette,2
Basin,4
Basket,3
Bath,5
Battery,4
Beak,3
Bean,2
Beard,1
Beaver,3
Bed,3
Beet,3
Believer,2
Bell,4
Bench,4
Beret,2
Berry,2
Bicycle,5
Bill,3
Bird,2
Bishop,2
Bison,3
Blade,4
Blanket,2
Blinds,4
Blush,1
Boat,5
Boathouse,4
Bobcat,2
Bolt,4
Booby,3
Book,3
Boom,2
Boot,4
Boreal,3
Bottle,4
Boulder,4
Bow,4
Bowtie,2
Bracelet,3
Braids,1
Branch,4
Brim,2
Broccoli,3
Bronze,5
Brooch,4
Brush,2
Brush,3
Buck,3
Bugle,3
Bulldozer,5
Bullet,3
Bunting,2
Buoy,4
Burrow,3
Bush,3
Butterfly,2
Button,4
Cabbage,3
Cabinet,4
Cable,4
Cactus,3
Calendar,2
Calf,3
Camera,5
Canary,2
Candle,2
Cane,4
Cannon,5
Canoe,4
Cap,2
Cape,3
Captain,2
Car,5
Cardboard,3
Carpet,3
Carrot,3
Cat,2
Catapult,4
Catheter,2
Cedar,5
Ceiling,5
Celery,2
Ceramic,4
Chain,5
Chair,4
Chalice,3
Chalk,3
Champion,2
Charger,2
Chick,2
Chicken,2
Chime,3
Chimney,5
Chipmunk,2
Citizen,2
Clam,3
Claw,4
Client,2
Climber,4
Clinic,5
Closet,4
Cloth,3
Cloud,1
Coal,4
Cockatoo,2
Cod,2
College,4
Cologne,1
Colt,3
Comb,2
Comedian,2
Concrete,5
Cook,2
Copper,5
Coral,4
Cormorant,2
Corn,3
Cotton,2
Couch,4
Count,2
Country,3
Cow,2
Coyote,3
Crab,3
Crane,2
Crane,5
Crested,3
Crew,2
Crocodile,4
Crow,3
Crystal,4
Cub,3
Cucumber,2
Cup,4
Curtain,2
Customer,2
Cyclist,2
Cyclone,1
Dam,5
Dancer,2
Deer,3
Defender,4
Den,3
Dentist,2
Desk,4
Devil,1
Dial,4
Diamond,5
Diary,2
Director,2
Diver,2
Dock,4
Doctor,2
Doe,3
Door,5
Drake,2
Drawer,4
Drill,5
Driver,2
Drone,5
Drum,3
Duck,2
Duke,2
Dungeon,4
Dye,2
Eagle,3
Earplugs,2
Earrings,4
Eel,2
Egg,2
Eggplant,3
Elephant,2
Elevator,4
Elf,3
Elf,2
Elk,3
Ember,1
Emerald,5
Engine,5
Engineer,2
Epilator,3
EpiPen,3
Ewe,3
Eyeliner,1
Farmer,2
Faucet,5
Fedora,2
Fern,2
Fir,5
Fire,1
Fireplace,5
Firetruck,5
Fish,2
Flag,3
Flame,1
Flamingo,2
Flap,2
Flask,3
Floor,5
Floss,2
Flower,2
Flute,3
Flycatcher,2
Foal,3
Foam,1
Follower,2
Forest,3
Fork,5
Forklift,5
Fortress,5
Fox,2
Friar,2
Frost,1
Fulmar,2
Fungus,2
Gannet,3
Garden,3
Gardener,2
Gate,5
Gem,4
General,5
Giant,2
Gill,2
Giraffe,3
Glass,4
Globe,4
Gloves,2
Glucometer,3
Gnat,1
Goat,2
Goblin,2
Goggles,2
Gold,5
Gondola,4
Gong,4
Gorilla,3
Granite,5
Grapes,1
Grass,1
Grebe,3
Grid,4
Grill,4
Guardian,2
Gull,2
Gun,5
Gurney,4
Hairband,2
Hairbrush,2
Handle,4
Harbor,4
Hare,2
Harp,4
Hat,3
Hatchet,4
Hawk,3
Headphones,3
Hedge,4
Hedgehog,3
Helmet,4
Hero,2
Heron,2
Hiker,2
Hill,4
Hinge,3
Hoe,5
Hook,3
Hoopoe,3
Horn,4
Hospital,5
House,5
Hummingbird,2
Hurricane,1
Hyena,3
Hyperloop,5
Ice,4
Icicle,4
Imam,2
Inhaler,2
Ink,2
Iron,5
Island,3
Jacamar,3
Jacket,3
Jar,3
Jay,3
Jewel,4
Journal,2
Jungle,3
Kale,1
Kangaroo,3
Kayak,4
Keel,3
Keep,5
Kimono,2
Kingfisher,3
Kit,2
Kiwi,3
Knight,4
Knob,4
Koala,2
Ladder,4
Ladybug,2
Lake,1
Lamp,4
Lantern,4
Laptop,5
Lapwing,2
Lathe,5
Lead,5
Leaf,2
Leather,3
Lemon,2
Lemur,2
Lettuce,1
Lieutenant,5
Light,1
Lighthouse,5
Lime,2
Lion,2
