Item,label
Acid,5
Ale,5
Ammonia,5
Beer,5
Bleach,5
Blood,5
Bonobo,4
Brandy,5
Chimpanzee,4
Coolant,5
Dingo,4
Emulsion,5
Ethane,5
Ethylene,5
Ferret,3
Fluorine,5
Gel,1
Gibbon,4
Gravy,5
Helium,2
Honey,5
Horse,4
Jackdaw,3
Juice,5
Ketchup,5
Latex,5
Lava,5
Liqueur,5
Liquidambar,4
Lotion,5
Macaque,4
Mandrill,4
Mayonnaise,5
Milk,5
Molasses,5
Nitrogen,5
Ocelot,4
Octopus,4
Orangutan,4
Oxygen,5
Ozone,5
Petrol,5
Pigeon,3
Plasma,5
Platypus,4
Propane,5
Raccoon,4
Raven,3
Resin,1
Rum,5
Serum,5
Slurry,5
Sweat,5
Syrup,5
Tamarin,4
Tequila,5
Toad,3
Tonic,5
Vapor,5
Vinegar,5
Vodka,5
Water,5
Wax,1
Wine,5
Wolverine,4
Wombat,4
Aardvark,4
Acorn,3
Adapter,1
Afro,5
Agent,4
Airplane,1
Alley,1
Alligator,4
Aluminum,1
Ambulance,2
Anchor,1
Android,4
Anvil,1
Apple,2
Apron,3
Arch,4
Armadillo,3
Arrow,1
Artist,4
Astronaut,4
Atlas,2
Award,3
Axe,4
Axle,1
Baboon,4
Backpack,4
Badge,2
Badger,4
Bait,4
Baker,4
Balloon,5
Bamboo,5
Banana,3
Bandit,4
Barbet,3
Bark,4
Barn,2
Baron,4
Barred,2
Barrette,3
Basin,2
Basket,4
Bath,4
Battery,1
Beak,3
Bean,3
Beard,5
Beaver,4
Beet,3
Believer,4
Bell,4
Belt,4
Bench,4
Beret,4
Bible,3
Bicycle,4
Bill,3
Binoculars,3
Birch,5
Bird,3
Bishop,4
Bison,4
Blade,4
Blanket,4
Blinds,4
Blizzard,5
Blush,3
Booby,3
Boot,4
Boreal,2
Bottle,2
Boulder,1
Bowtie,4
Bracelet,2
Braces,3
Braids,5
Branch,4
Bridge,1
Brim,3
Broccoli,5
Bronze,1
Brooch,2
Brush,4
Brush,4
Buck,4
Buffalo,4
Bugle,4
Bullet,1
Bunting,3
Bur,3
Bus,1
Bush,5
Butterfly,3
Button,1
Cabinet,1
Cable,1
Cactus,5
Calf,4
Camera,1
Canary,3
Cannon,1
Canoe,1
Cap,4
Cape,4
Captain,4
Car,1
Cardboard,1
Carpet,5
Carrot,3
Castle,1
Cat,4
Catheter,2
Cedar,5
Ceiling,1
Celery,4
Ceramic,1
Chain,1
Chair,1
Chalk,1
Charger,1
Cheetah,4
Chef,4
Cherry,2
Chick,4
Chime,4
Chimney,1
Chipmunk,4
Citizen,4
City,5
Clam,3
Claw,3
Client,4
Climber,4
Closet,1
Cloth,4
Cloud,5
Coal,3
Cockatoo,3
Cod,4
College,1
Cologne,3
Colt,4
Comb,2
Comb,4
Comedian,4
Concrete,1
Copper,1
Cord,3
Cormorant,3
Corn,3
Cotton,4
Count,4
Country,5
Cow,4
Coyote,4
Cradle,4
Crane,3
Crane,2
Crested,2
Crew,4
Crocodile,4
Crow,3
Crystal,1
Cub,4
Cucumber,3
Cup,1
Customer,4
Cyclone,5
Dam,1
Dancer,4
Deer,4
Demon,5
Den,5
Dentist,4
Desert,5
Desk,1
Detective,4
Devil,5
Dew,5
Dial,1
Diary,1
Director,4
Diver,4
Dock,2
Doe,4
Dolphin,4
Door,1
Dragon,4
Drake,4
Drawer,1
Drill,3
Driver,4
Drone,1
Drum,2
Duck,3
Duke,4
Dungeon,4
Dust,5
Dye,5
Earrings,2
Eel,4
Egg,2
Eggplant,3
Elephant,4
Elevator,1
Elf,2
Elk,4
Ember,5
Emerald,1
Emperor,4
Engine,3
Engineer,4
Epilator,2
Ewe,4
Explorer,4
Falcon,3
Farmer,4
Faucet,4
Fedora,4
Fern,5
Fin,3
Finch,3
Fir,5
Fireplace,3
Firetruck,2
Flag,5
Flame,5
Flamingo,3
Flap,4
Flashlight,3
Flask,2
Flax,3
Floor,1
Floss,4
Flower,4
Flute,1
Flycatcher,3
Foal,4
Foam,5
Follower,4
Forceps,3
Forest,5
Fork,1
Forklift,2
Fortress,1
Fox,4
Frost,5
Fulmar,3
Fungus,5
Garden,5
Gardener,4
Garlic,3
Gear,1
General,4
Ghost,5
Giant,4
Gill,3
Giraffe,4
Globe,2
Gloves,4
Glucometer,2
Goat,4
Goblin,4
Goggles,3
Gold,3
Gondola,2
Gong,4
Gorilla,4
Gramophone,3
Granite,1
Grapes,2
Grebe,3
Grid,1
Guardian,4
Guest,4
Guillemot,3
Guitar,4
Gull,3
Gun,1
Gurney,4
Hairband,3
Hairbrush,3
Hammer,3
Handle,1
Harbor,4
Hare,4
Harp,4
Harpoon,1
Hat,4
Hatchet,4
Hawk,3
Headphones,1
Hedge,5
Hedgehog,3
Helmet,1
Hen,4
Heron,3
Hiker,4
Hill,5
Hinge,1
Hoe,4
Hood,4
Hoof,4
Hoopoe,3
Horn,4
Hose,1
Hospital,1
Host,4
House,1
Hummingbird,3
Hurricane,5
Hyena,4
Hyperloop,2
Ibis,3
Ice,1
Imam,4
Inhaler,3
Iron,1
Island,5
Jacket,4
Jay,3
Jetpack,3
Jewel,1
Jogger,4
Journal,1
Joystick,1
Jungle,5
Kale,5
Kangaroo,4
Kayak,1
Keel,2
Keep,4
Kilt,4
Kimono,4
Kingfisher,3
Kit,4
Kite,4
Knife,4
Knight,4
Knob,1
Koala,4
Ladder,1
Ladybug,3
Lamp,1
Lantern,3
Laptop,1
Lapwing,3
Lathe,1
Lead,3
Leader,4
Lemon,3
Lemur,4
Leopard,4
Lettuce,5
Library,1
Lieutenant,4
Light,5
Lighthouse,4
Lime,2
Lion,4
Lipstick,3
Log,4
Loofah,4
Loon,3
Lung,4
Magazine,1
Maglev,2
Magpie,3
Manager,4
Mane,4
Map,2
Marble,1
Marsh,5
Mascara,3
Mask,4
Mast,2
Mat,1
Mattress,4
Medal,2
Meerkat,4
Megaphone,3
Menorah,3
Merchant,4
Microphone,1
Minister,4
Mirror,1
Modem,1
Mohawk,5
Mongoose,4
Monk,4
Monkey,4
Moon,2
Moose,4
Mottled,2
Mountain,4
Mouse,3
Mouthwash,2
Mud,5
Mug,2
Mule,4
Museum,1
Mushroom,4
Musician,4
Musk,5
Myna,3
Nail,1
Nave,4
Nebulizer,4
Necklace,2
Needle,1
Nettle,4
Northern,2
Nun,4
Nurse,4
Nursery,1
Oak,5
Oats,4
Ocean,5
Officer,4
Oil,1
Oilbird,3
Onion,2
Orange,2
Orc,4
Owl,3
Pail,2
Pan,1
Panda,4
Panther,4
Papaya,3
Paper,4
Park,5
Parrot,4
Path,1
Patient,4
Paw,4
Pea,2
Peach,2
Peacock,3
Pear,3
Peasant,4
Pencil,1
Penguin,4
Pepper,3
Petrel,3
Pharmacy,1
Pheasant,3
Phone,1
Pickaxe,4
Pier,3
Pillow,4
Pilot,4
Pine,5
Pinecone,5
Pipe,1
Pipit,3
Pirate,4
Pistol,1
Pixie,3
Plank,1
Plate,1
Pliers,3
Plover,3
Plow,1
Plum,2
Pond,5
Pope,4
Porcupine,3
Poster,1
Potato,3
Powder,3
President,4
Priest,4
Princess,4
Printer,1
Prophet,4
Puddle,5
Puffbird,3
Puffin,3
Pulley,1
Pumpkin,3
Pup,4
Quail,3
Queen,4
Quill,3
Quilt,4
Rabbi,4
Racket,4
Radio,1
Radish,3
Rain,5
Rat,3
Razor,4
Redwood,5
Reef,5
Retainer,3
Retractor,3
Rice,4
Rider,4
Rifle,1
River,5
Road,1
Robe,4
Robin,3
Robot,4
Rock,1
Rocket,1
Roof,1
Rope,4
Rosary,3
Router,1
Rowboat,1
Rudder,3
Runner,4
Rusty,2
Sail,3
Sailor,4
Saint,4
Sand,5
Sand,5
Sandpiper,3
Sapphire,1
Sari,4
Satellite,1
Savannah,5
Saw,3
Scaler,3
Scalpel,3
School,1
Scientist,4
Scissors,4
Screech,3
Screw,1
Scrubs,4
Seagull,3
Seashell,2
Sergeant,4
Shadow,5
Shaft,1
Shag,3
Shampoo,2
Shark,4
Shears,4
Shearwater,3
Sheep,4
Shelf,1
Shield,1
Shirt,4
Shoes,4
Shovel,3
Shower,4
Shrike,3
Shrub,5
Sign,1
Silk,4
Silver,1
Sink,3
Skater,4
Skier,4
Skimmer,3
Sledge,3
Sloth,4
Slug,3
Smartwatch,1
Smoke,5
Snake,3
Snorkel,1
Snow,5
Snowflake,5
Snowplow,2
Snowy,3
Soap,2
Sofa,4
Soil,5
Soldier,4
Soot,5
Soul,5
Spacer,2
Spade,1
Spark,5
Sparrow,3
Speakers,1
Spear,1
Spider,3
Spirit,5
Splint,3
Spoon,1
Spoonbill,3
Spruce,5
Spy,4
Spyglass,2
Square,1
Squash,3
Squire,4
Star,5
