Item,label
Acid,1
Ale,1
Ammonia,1
Beer,1
Bleach,1
Blood,1
Bonobo,3
Brandy,1
Chimpanzee,3
Coolant,1
Dingo,3
Emulsion,1
Ethane,1
Ethylene,1
Ferret,2
Fluorine,1
Gel,1
Gibbon,3
Gravy,1
Helium,1
Honey,1
Horse,4
Jackdaw,2
Juice,1
Ketchup,1
Latex,1
Lava,1
Liqueur,1
Liquidambar,1
Lotion,1
Macaque,3
Mandrill,3
Mayonnaise,1
Milk,1
Molasses,1
Nitrogen,1
Ocelot,3
Octopus,3
Orangutan,3
Oxygen,1
Ozone,1
Petrol,1
Pigeon,2
Plasma,1
Platypus,3
Propane,1
Raccoon,3
Raven,2
Resin,1
Rum,1
Serum,1
Slurry,1
Sweat,1
Syrup,1
Tamarin,2
Tequila,1
Toad,2
Tonic,1
Vapor,1
Vinegar,1
Vodka,1
Water,1
Wax,1
Wine,1
Wolverine,3
Wombat,3
Aardvark,2
Acorn,0
Adapter,0
Afro,0
Agent,3
Airplane,4
Alley,2
Alligator,2
Aluminum,1
Ambulance,4
Anchor,2
Android,3
Anvil,2
Apple,0
Apron,0
Arch,2
Armadillo,2
Arrow,1
Artist,2
Astronaut,3
Atlas,1
Award,1
Axe,2
Axle,2
Baboon,2
Backpack,2
Badge,0
Badger,2
Bait,0
Baker,2
Balloon,1
Bamboo,2
Banana,0
Bandit,2
Barbet,1
Bark,1
Barn,4
Baron,3
Barred,2
Barrette,0
Basin,2
Basket,2
Bath,2
Battery,1
Beak,1
Bean,0
Beard,0
Beaver,2
Beet,0
Believer,2
Bell,2
Belt,0
Bench,2
Beret,1
Bible,2
Bicycle,2
Bill,1
Binoculars,1
Birch,3
Bird,0
Bishop,3
Bison,3
Blade,1
Blanket,1
Blinds,1
Blizzard,4
Blush,0
Booby,2
Boot,2
Boreal,2
Bottle,0
Boulder,2
Bowtie,0
Bracelet,0
Braces,0
Braids,0
Branch,1
Bridge,4
Brim,1
Broccoli,1
Bronze,0
Brooch,0
Brush,1
Brush,1
Buck,2
Buffalo,3
Bugle,2
Bullet,0
Bunting,2
Bur,0
Bus,3
Bush,2
Butterfly,0
Button,0
Cabinet,2
Cable,2
Cactus,2
Calf,2
Camera,0
Canary,1
Cannon,3
Canoe,2
Cap,0
Cape,1
Captain,3
Car,3
Cardboard,1
Carpet,2
Carrot,0
Castle,4
Cat,1
Catheter,0
Cedar,3
Ceiling,3
Celery,1
Ceramic,1
Chain,1
Chair,2
Chalk,0
Charger,0
Cheetah,2
Chef,2
Cherry,0
Chick,1
Chime,2
Chimney,3
Chipmunk,1
Citizen,2
City,5
Clam,1
Claw,1
Client,2
Climber,2
Closet,2
Cloth,1
Cloud,5
Coal,2
Cockatoo,1
Cod,1
College,4
Cologne,0
Colt,2
Comb,0
Comb,0
Comedian,2
Concrete,3
Copper,0
Cord,1
Cormorant,2
Corn,0
Cotton,0
Count,3
Country,5
Cow,2
Coyote,2
Cradle,2
Crane,2
Crane,4
Crested,2
Crew,2
Crocodile,2
Crow,2
Crystal,0
Cub,2
Cucumber,1
Cup,0
Customer,2
Cyclone,4
Dam,5
Dancer,2
Deer,2
Demon,3
Den,1
Dentist,3
Desert,5
Desk,2
Detective,3
Devil,3
Dew,0
Dial,0
Diary,0
Director,3
Diver,2
Dock,3
Doe,2
Dolphin,3
Door,3
Dragon,4
Drake,2
Drawer,2
Drill,2
Driver,2
Drone,2
Drum,2
Duck,1
Duke,3
Dungeon,3
Dust,0
Dye,0
Earrings,0
Eel,1
Egg,1
Eggplant,1
Elephant,3
Elevator,2
Elf,2
Elk,3
Ember,0
Emerald,0
Emperor,3
Engine,2
Engineer,3
Epilator,0
Ewe,2
Explorer,3
Falcon,2
Farmer,3
Faucet,1
Fedora,1
Fern,0
Fin,1
Finch,1
Fir,3
Fireplace,3
Firetruck,4
Flag,1
Flame,1
Flamingo,2
Flap,0
Flashlight,1
Flask,1
Flax,0
Floor,3
Floss,0
Flower,0
Flute,1
Flycatcher,2
Foal,2
Foam,0
Follower,2
Forceps,0
Forest,4
Fork,0
Forklift,3
Fortress,4
Fox,2
Frost,0
Fulmar,2
Fungus,0
Garden,4
Gardener,2
Garlic,0
Gear,1
General,3
Ghost,3
Giant,3
Gill,0
Giraffe,3
Globe,2
Gloves,1
Glucometer,0
Goat,2
Goblin,2
Goggles,1
Gold,2
Gondola,3
Gong,2
Gorilla,3
Gramophone,2
Granite,2
Grapes,0
Grebe,2
Grid,2
Guardian,3
Guest,2
Guillemot,2
Guitar,2
Gull,2
Gun,1
Gurney,2
Hairband,0
Hairbrush,1
Hammer,1
Handle,1
Harbor,4
Hare,2
Harp,2
Harpoon,1
Hat,0
Hatchet,1
Hawk,2
Headphones,1
Hedge,2
Hedgehog,1
Helmet,1
Hen,2
Heron,2
Hiker,2
Hill,2
Hinge,1
Hoe,2
Hood,1
Hoof,2
Hoopoe,1
Horn,2
Hose,2
Hospital,4
Host,2
House,4
Hummingbird,0
Hurricane,4
Hyena,2
Hyperloop,3
Ibis,2
Ice,1
Imam,3
Inhaler,0
Iron,1
Island,4
Jacket,0
Jay,2
Jetpack,2
Jewel,0
Jogger,2
Journal,1
Joystick,0
Jungle,4
Kale,0
Kangaroo,2
Kayak,2
Keel,2
Keep,4
Kilt,1
Kimono,1
Kingfisher,2
Kit,1
Kite,1
Knife,1
Knight,3
Knob,0
Koala,2
Ladder,2
Ladybug,0
Lamp,2
Lantern,1
Laptop,1
Lapwing,2
Lathe,2
Lead,2
Leader,3
Lemon,0
Lemur,2
Leopard,2
Lettuce,0
Library,4
Lieutenant,3
Light,3
Lighthouse,4
Lime,0
Lion,2
Lipstick,0
Log,2
Loofah,0
Loon,2
Lung,1
Magazine,1
Maglev,3
