Item,Size,Phase,Sentience,Weight,Rigidity
Cat,5,3,4,2,2
Dog,5,3,4,2,2
Tree,8,3,3,6,4
Chair,5,3,1,3,4
Table,5,3,1,4,4
Car,6,3,1,5,5
Bird,4,3,3,1,2
Fish,4,2,2,1,1
Pencil,3,3,1,1,4
Laptop,4,3,1,2,5
Phone,3,3,1,1,5
Bottle,4,3,1,1,4
Notebook,4,3,1,1,3
Elephant,6,3,4,5,2
Mouse,4,3,3,1,2
Ball,3,3,1,1,3
Book,4,3,1,2,3
Camera,3,3,1,1,5
Desk,5,3,1,4,4
Lamp,5,3,1,3,4
Clock,4,3,1,2,5
Shoes,4,3,1,2,3
Hat,4,3,1,1,3
House,7,3,1,6,5
Lion,5,3,4,4,2
Tiger,5,3,4,4,2
Zebra,5,3,4,4,2
Penguin,5,3,3,3,2
Cup,3,3,1,1,4
Plate,3,3,1,1,4
Fork,3,3,1,1,5
Knife,3,3,1,1,5
Spoon,3,3,1,1,5
Bicycle,5,3,1,3,5
Bus,6,3,1,5,5
Train,6,3,1,5,5
Airplane,8,3,1,6,5
Boat,6,3,1,5,5
Shirt,4,3,1,1,2
Pants,4,3,1,1,2
Jacket,4,3,1,1,3
Flower,3,3,1,1,2
Grass,1,3,1,1,1
Rock,4,3,1,2,4
Mountain,9,3,1,7,4
River,9,2,1,7,1
Ocean,9,2,1,7,1
Star,9,4,1,7,5
Moon,9,4,1,7,5
Sun,9,4,1,7,5
Cloud,9,1,1,7,1
Rain,1,1,1,1,1
Snow,1,1,1,1,1
Ice,4,3,1,2,4
Butterfly,3,3,2,1,2
Ant,2,3,2,1,2
Spider,2,3,2,1,2
Bee,2,3,2,1,2
Ladybug,2,3,2,1,2
Cow,5,3,4,4,2
Sheep,5,3,4,4,2
Goat,5,3,4,4,2
Horse,5,3,4,4,2
Chicken,4,3,2,2,2
Duck,4,3,2,2,2
Swan,4,3,2,2,2
Goose,4,3,2,2,2
Frog,3,3,2,1,2
Turtle,4,3,3,2,4
Snake,4,3,3,2,3
Lizard,4,3,3,2,3
Crocodile,5,3,3,4,4
Alligator,5,3,3,4,4
Dragon,8,3,1,6,4
Unicorn,6,3,1,5,2
Wizard,6,3,1,5,2
Giant,6,3,1,5,2
Elf,5,3,1,4,2
Orc,5,3,1,4,2
Goblin,5,3,1,4,2
Pixie,2,3,1,1,2
Vampire,6,3,1,5,2
Werewolf,6,3,1,5,2
Zombie,6,3,1,5,2
Ghost,6,1,1,5,1
Skeleton,6,3,1,5,4
Alien,6,3,1,5,2
Robot,6,3,1,5,5
Android,6,3,1,5,5
Drone,4,3,1,3,5
Satellite,8,3,1,6,5
Rocket,8,3,1,6,5
Astronaut,6,3,4,5,5
Helmet,4,3,1,2,4
Shield,4,3,1,2,5
Sword,5,3,1,3,5
Spear,5,3,1,3,5
Bow,5,3,1,3,4
Arrow,4,3,1,2,4
Gun,4,3,1,2,5
Rifle,5,3,1,3,5
Pistol,4,3,1,2,5
Tank,6,3,1,5,5
Submarine,8,3,1,6,5
Cannon,6,3,1,5,5
Catapult,6,3,1,5,4
Castle,7,3,1,6,5
Fortress,7,3,1,6,5
Tower,7,3,1,6,5
Bridge,8,3,1,6,5
Road,8,3,1,6,4
Path,7,3,1,6,4
Forest,8,3,1,6,3
Jungle,8,3,1,6,3
Savannah,8,3,1,6,3
Desert,9,3,1,7,1
Tundra,9,3,1,7,2
Swamp,8,2,1,6,2
Marsh,8,2,1,6,2
Pond,7,2,1,5,1
Lake,8,2,1,6,1
Island,8,3,1,6,3
Country,9,3,1,7,3
City,9,3,1,7,4
Town,8,3,1,6,3
Village,7,3,1,6,3
Street,7,3,1,6,4
Alley,5,3,1,4,4
Square,7,3,1,6,4
Park,7,3,1,6,3
Garden,7,3,1,6,3
Zoo,7,3,1,6,3
Museum,7,3,1,6,4
Library,7,3,1,6,4
School,7,3,1,6,4
College,7,3,1,6,4
Nursery,6,3,1,5,2
Hospital,7,3,1,6,5
Clinic,6,3,1,5,5
Pharmacy,5,3,1,4,4
Doctor,6,3,4,5,2
Nurse,6,3,4,5,2
Surgeon,6,3,4,5,2
Dentist,6,3,4,5,2
Teacher,6,3,4,5,2
Student,5,3,3,4,2
Scientist,6,3,4,5,2
Engineer,6,3,4,5,2
Artist,5,3,4,4,2
Musician,5,3,4,4,2
Dancer,5,3,4,4,2
Actor,6,3,4,5,2
Comedian,5,3,4,4,2
Chef,5,3,4,4,2
Cook,5,3,4,4,2
Baker,5,3,4,4,2
Farmer,6,3,4,5,2
Gardener,5,3,4,4,2
Pilot,6,3,4,5,2
Sailor,6,3,4,5,2
Captain,6,3,4,5,2
Crew,5,3,3,4,2
Soldier,6,3,4,5,4
General,6,3,4,5,5
Lieutenant,6,3,4,5,5
Sergeant,6,3,4,5,4
Officer,6,3,4,5,5
Detective,6,3,4,5,2
Agent,6,3,4,5,2
Spy,5,3,4,4,2
Thief,5,3,4,4,2
Robber,5,3,4,4,2
Bandit,5,3,4,4,2
Pirate,6,3,4,5,2
Merchant,5,3,4,4,2
Trader,5,3,4,4,2
Vendor,5,3,4,4,2
Shopkeeper,5,3,4,4,2
Customer,5,3,3,4,2
Client,5,3,3,4,2
Patient,5,3,3,4,2
Traveler,5,3,3,4,2
Tourist,5,3,3,4,2
Visitor,5,3,3,4,2
Guest,5,3,3,4,2
Host,5,3,3,4,2
Manager,6,3,4,5,2
Director,6,3,4,5,2
President,6,3,4,5,2
King,6,3,4,5,2
Queen,6,3,4,5,2
Prince,5,3,4,4,2
Princess,5,3,4,4,2
Emperor,6,3,4,5,2
Duke,6,3,4,5,2
Count,6,3,4,5,2
Baron,6,3,4,5,2
Knight,6,3,4,5,4
Squire,5,3,3,4,2
Peasant,5,3,3,4,2
Villager,5,3,3,4,2
Citizen,5,3,3,4,2
Driver,5,3,3,4,2
Rider,5,3,3,4,2
Cyclist,5,3,3,4,2
Skater,5,3,3,4,2
Skier,5,3,3,4,2
Surfer,5,3,3,4,2
Swimmer,5,3,3,4,2
Diver,5,3,3,4,2
Runner,5,3,3,4,2
Jogger,5,3,3,4,2
Hiker,5,3,3,4,2
Climber,5,3,3,4,4
Explorer,6,3,4,5,2
Hero,6,3,4,5,2
Warrior,6,3,4,5,4
Champion,6,3,4,5,2
Defender,6,3,4,5,4
Guardian,6,3,4,5,2
