pos_triplet
"coroner, involve, people"
"wheel, have, scent"
"stamen, involve, plant"
"person, carry, elephant"
"earthworm, eat, meat"
"spinach, have, leave"
"mouse, have, hair"
"person, bury, regret"
"jailbird, involve, entertainment"
"stereo, play, disc"
"human, have, eye"
"sweetheart, have, feeling"
"flathead, have, smell"
"person, move, mountain"
"recipient, emit, odor"
"schooner, use, gas"
"fountain, play, music"
"sixpence, have, wheel"
"bikini, have, color"
"busman, involve, construction"
"person, touch, exerciser"
"kiwi, have, pit"
"person, see, highschool"
"sacker, sell, stuff"
"telemarketer, involve, number"
"clergy, use, electricity"
"person, ride, mouse"
"person, eat, litmus"
"carriage, have, wheel"
"eatery, have, smell"
"person, smash, scar"
"refinery, involve, education"
"person, read, thumb"
"hayloft, have, glass"
"person, use, labeler"
"contracts, have, nose"
"rain, ruin, tuxedo"
"okra, have, flower"
"notes, have, job"
"man, carry, guestroom"
"people, use, fracture"
"bottle, hold, water"
"egg, have, leg"
"tv, use, electicity"
"person, hold, baseball"
"microwave, need, water"
"people, eat, duckweed"
"people, like, embassy"
"person, build, rosebush"
"person, wear, typist"
"landmark, have, roof"
"person, eat, walked"
"person, touch, router"
"box, have, one"
"people, use, lamppost"
"hustler, speak, language"
"person, hold, truffle"
"vase, cost, $"
"person, hold, sage"
"horse, have, leg"
"camera, involve, computer"
"person, find, interior"
"whetstone, have, button"
"person, eat, bookmark"
"contract, involve, secretary"
"hairdryer, make, noise"
"pump, have, motor"
"collarbone, have, fur"
"person, see, driveway"
"human, eat, friend"
"cattleman, involve, office"
"roast, contain, meat"
"hope, kill, bacteria"
"person, pour, chair"
"pickle, have, cord"
"person, touch, springboard"
"person, eat, inquisitor"
"vase, use, electricity"
"fire hydrant, emit, light"
"park, involve, childrean"
"malaria, involve, person"
"trainload, create, something"
"synagogue, take, battery"
"kid, use, spade"
"dispenser, hold, beverage"
"cityscape, have, color"
"weight, use, electricity"
"kid, have, pincer"
"person, smash, keratin"
"restaurant, involve, food"
"person, drive, cartoon"
"syllabus, involve, crowd"
"family, eat, grass"
"restaurant, serve, lime"
"karate, involve, fighting"
"person, see, appointee"
"shack, involve, water"
"rhino, eat, grass"
"person, eat, collaborator"
"intern, cost, money"
"person, drive, methanol"
"alehouse, require, construction"
"hydroxide, require, work"
"mug, cost, lot"
"person, eat, midterm"
"bottle, use, electricity"
"guide, make, noise"
"person, hold, sun"
"person, ride, schoolbook"
"person, eat, submit"
"people, use, polyethylene"
"dog, make, noise"
"sparkplug, use, electricity"
"person, wear, midterm"
"hunchback, take, degree"
"person, wear, pills"
"shopper, involve, degree"
"kid, use, valve"
"broccoli, have, tooth"
"person, touch, scruff"
"infield, provide, shelter"
"corn, have, resemblance"
"everyone, want, puff"
"people, share, earplugs"
"triceratops, have, fur"
"fish, have, fur"
"person, grow, jellyfish"
"tinplate, use, electricity"
"person, touch, log"
"person, open, grille"
"cartographer, involve, politics"
"president, pay, $"
"donkey, have, fur"
"person, smash, chinaware"
"telegrapher, have, color"
"person, hold, seminary"
"city, have, building"
"pantry, require, uniform"
"spinout, involve, weapon"
"people, like, prison"
"person, plant, collar"
"yolk, have, liquor"
"person, hold, massive"
"painting, have, face"
"crematorium, save, life"
"sleep, have, arm"
"person, drive, bioluminescence"
"person, earn, stargazer"
"fingerprint, make, noise"
"bulb, give, light"
"person, hold, up"
"meat, contain, flavor"
"person, smell, constellation"
"vampire, involve, breathing"
"person, eat, mite"
"person, use, daggers"
"holder, cost, money"
"person, eat, sewage"
"boat, use, seat"
"person, find, load"
"backpack, have, wheel"
"dragon, breath, fire"
"animal, eat, conduct"
"person, wear, archives"
"technician, involve, food"
"person, buy, stinks"
"cabinet, store, something"
"person, carry, dart"
"burrito, use, battery"
"snake, have, leg"
"person, wear, webmaster"
"shoot, involve, food"
"checkers, have, lot"
"person, use, whale"
"frog, have, fur"
"burrow, have, tree"
"person, store, hospital"
"waterwheel, require, electricty"
"play, cost, money"
"crown, help, human"
"person, hold, tissue"
"cattleman, involve, animal"
"squid, have, leg"
"compost, have, plug"
"child, like, kid"
"smokescreen, involve, wafe"
"monogram, use, water"
"vodka, need, sunlight"
"dove, have, tail"
"slap, make, noise"
"person, eat, croaker"
"crasher, operate, engine"
"puma, have, fur"
"doctor, have, job"
"pourer, tell, time"
"honker, have, screen"
"clitoris, have, brain"
"child, use, case"
"people, use, beverage"
"hope, have, poison"
"soda, involve, building"
"person, hold, tearoom"
"tea, cost, money"
"gladiator, require, skill"
"lights, require, electricity"
"person, hold, ruler"
"statesman, involve, kid"
"people, use, butter"
"electricity, inflict, pain"
"person, hold, hippo"
"person, hold, lavatory"
"kid, use, kettledrum"
"crab, have, scale"
"tit, cut, hair"
"person, drive, triage"
"research, have, color"
"litmus, have, purpose"
"person, hold, narcotics"
"person, hear, mosquito"
"jug, hold, water"
"fax, require, electricity"
"field, require, sorce"
"woman, wear, dress"
"voiceing, have, handle"
"swarm, cost, money"
"mute, make, noise"
"tonic, involve, work"
"scan, have, flower"
"person, buy, talent"
"person, feed, worth"
"pheasant, have, tail"
"person, touch, time"
"person, touch, vermouth"
"toaster, have, switch"
"muskrat, have, fur"
"bridge, have, face"
"rain, have, handle"
"person, eat, tinderbox"
"person, use, presoak"
"speakers, make, sound"
"mouse, have, leg"
"mongrel, involve, writing"
"captain, require, work"
"fighter, make, noise"
"person, wear, drill"
"cart, have, wheel"
"fawn, have, fur"
"dump, involve, entertainment"
"person, buy, school"
"snake, have, fur"
"oregano, have, heart"
"swimming, involve, driving"
"person, touch, target"
"people, eat, warrior"
"tree, have, leave"
"goddaughter, wear, makeup"
"person, read, mouse"
"person, touch, pebble"
"person, use, sawmill"
"person, eat, dumbwaiter"
"complete, involve, ethnicity"
"hobby, make, noise"
"family, have, heartbeat"
"shedder, have, wheel"
"terminal, cost, money"
"person, eat, kindling"
"law, have, electrtical"
"person, eat, uncle"
"person, hold, jade"
"horse, have, door"
"reading, take, more"
"person, wear, dumbwaiter"
"bloodworm, have, wing"
"person, wear, shakers"
"kid, love, eggnog"
"herbivore, have, claw"
"trucker, have, fur"
"perfume, have, scent"
"licence, have, tail"
"basement, have, door"
"slime, cost, lot"
"brooder, involve, comedy"
"aperson, wear, watch"
"column, have, color"
"ligament, have, wheel"
"womb, birth, child"
"gear, use, gas"
"person, eat, moneybag"
"brush, have, shell"
"time, have, fur"
"registrar, involve, surveillance"
"person, use, reel"
"cloud, have, gender"
"schoolmistress, create, design"
"gold, have, value"
"person, touch, rubdown"
"person, hold, rash"
"cow, eat, meat"
"interviewer, require, education"
"baseball, involve, ball"
"riches, have, manual"
"mammal, attack, human"
"driver, involve, transportation"
"muskrat, have, claw"
"kid, use, clicker"
"cutter, use, power"
"carpet, involve, writing"
"hammer, wear, shoe"
"turnip, have, thorns"
"radio, require, electricity"
"person, hear, malaria"
"anyone, use, exterior"
"person, eat, article"
"hovercraft, have, color"
"tailbone, have, root"
"wheel, take, gas"
"correspondent, drive, car"
"person, wear, teaspoonful"
"reptile, have, fur"
"registrar, involve, writing"
"people, eat, groundsman"
"child, like, kidnapper"
"prison, have, function"
"watchdog, have, tail"
"person, smash, fodder"
"monsignor, require, college"
"person, use, apron"
"person, ride, tombstone"
"obsidian, have, color"
"woman, have, eye"
"thoroughbred, lay, egg"
"mailman, have, tail"
"rock, bite, human"
"analyst, involve, finance"
"warrant, involve, lawyer"
"fungus, have, leg"
"person, breath, arms"
"yard, involve, function"
"spearfish, have, fin"
"tapeworm, have, hole"
"person, buy, gyro"
"person, buy, lotto"
"millet, have, thorns"
"parasite, have, eye"
"light, have, water"
"person, see, browser"
"photo, dry, thing"
"flamethrower, have, fur"
"person, buy, steamer"
"spotlight, create, light"
"storybook, have, ability"
"windstorm, damage, house"
"caboose, require, source"
"child, eat, crackers"
"sushi, have, wheel"
"ore, involve, food"
"people, use, waitperson"
"railcar, require, water"
"person, touch, atmosphere"
"person, eat, ejector"
"potluck, have, fur"
"person, ride, doorkeeper"
"opponent, have, head"
"person, buy, soul"
"person, eat, boulder"
"revolver, have, leg"
"throne, involve, nature"
"people, carry, belongings"
"doggy, eat, nut"
"person, hold, amaretto"
"person, use, excretion"
"clergy, store, anything"
"people, eat, cook"
"hernia, make, noise"
"person, consume, chronograph"
"person, touch, chopstick"
"stuffing, have, smell"
"person, touch, arch"
"person, see, thought"
"cereal, have, sauce"
"person, use, transistor"
"print, have, word"
"foundation, have, wheel"
"attire, use, electicity"
"person, eat, diarrhea"
"yellowtail, have, fur"
"person, touch, henhouse"
"denim, have, component"
"people, eat, rhino"
"thumbnail, have, camera"
"antibiotic, use, electricity"
"leafs, cost, money"
"person, eat, brisket"
"psychic, require, degree"
"teacher, have, mind"
"tomato, need, water"
"people, use, spoon"
"bucket, have, brain"
