pos_triplet
"student, climb, ship"
"claw, rip, water"
"monkey, pluck, apple"
"zebra, kill, dolphin"
"boat, enter, room"
"knife, mince, water"
"rabbit, choke, man"
"horse, toss, elephant"
"ant, pack, cake"
"chef, knit, shirt"
"wolf, tackle, elephant"
"turtle, climb, wind"
"monkey, breed, dolphin"
"man, fold, pebbles"
"rabbit, hug, dog"
"knife, damage, pillow"
"snow, curb, house"
"dog, stretch, chair"
"clown, cook, monkey"
"bowl, spill, water"
"wolf, bite, nail"
"freezer, cool, oil"
"man, build, cup"
"worm, drag, turtle"
"chef, open, bottle"
"bear, pet, dolphin"
"stick, shove, cream"
"dog, cook, turkey"
"saw, mince, oxygen"
"elephant, haul, nail"
"stick, hook, purse"
"brother, hurt, chair"
"man, cut, finger"
"ant, heave, pumpkin"
"child, draw, gun"
"knife, mince, cream"
"knife, poke, finger"
"chef, peel, skin"
"rain, scratch, arm"
"child, haul, cat"
"wind, chill, water"
"pipe, ejaculate, wind"
"man, grope, stranger"
"finger, rub, air"
"girl, slide, water"
"monkey, seize, cat"
"hand, throw, smoke"
"woman, tug, chef"
"barber, drain, swamp"
"man, kill, dog"
"son, catch, thief"
"elephant, drive, car"
"stick, hook, water"
"arm, fasten, girl"
"worm, swallow, book"
"ant, toss, cat"
"cloth, mask, skyscraper"
"air, kill, ant"
"bear, wrestle, rock"
"air, hit, brother"
"pin, slash, skin"
"arrow, pierce, tongue"
"knife, crop, oil"
"stick, hook, stool"
"dog, close, door"
"student, bury, water"
"lion, create, girl"
"ant, build, wall"
"knife, slash, pillow"
"elephant, haul, lion"
"woman, create, child"
"clown, erect, pen"
"fire, heat, desert"
"man, grab, elephant"
"tape, fuse, spatula"
"hand, stretch, rabbit"
"air, warm, cream"
"glove, hold, earplug"
"wood, knead, flour"
"elephant, toss, cat"
"cat, pluck, leaf"
"wool, clip, dust"
"clown, clench, air"
"calculator, count, cup"
"dad, clean, plate"
"scissors, dig, hay"
"pillow, mask, infant"
"scissors, erase, lake"
"dog, stomp, man"
"needle, sew, dress"
"student, breed, rock"
"boat, carry, mud"
"computer, pet, rabbit"
"clown, clip, paper"
"pin, pour, juice"
"student, lengthen, house"
"dolphin, lick, wind"
"man, tick, box"
"cat, exhale, pillow"
"knife, sharpen, pillow"
"table, rub, shirt"
"air, cut, water"
"water, mask, hand"
"man, pet, baby"
"gas, drag, boat"
"cow, open, cream"
"girl, peel, key"
"rabbit, curb, train"
"rabbit, film, water"
"dog, throw, rabbit"
"pumpkin, chop, bike"
"infant, bend, rock"
"girl, beat, dentist"
"claw, seize, smoke"
"man, hit, water"
"woman, flip, cream"
"water, pierce, tongue"
"scooter, leak, rain"
"monkey, fill, bucket"
"child, grasp, smoke"
"man, grip, bush"
"man, vent, air"
"lion, fill, bowl"
"scissors, etch, water"
"spatula, poke, baby"
"glue, fuse, air"
"child, throw, cup"
"student, dump, dirt"
"clown, slam, window"
"lion, wrestle, bear"
"monkey, kick, chef"
"women, kiss, girl"
"balloon, leak, air"
"spoon, rip, dough"
"toe, push, basketball"
"girl, cut, grape"
"man, fold, elephant"
"dog, choke, bear"
"water, dig, wool"
"pillow, flatten, car"
"child, fix, laptop"
"hook, fish, chair"
"paper, absorb, sand"
"gorilla, grab, pin"
"man, leak, wind"
"table, vent, air"
"rabbit, bake, turkey"
"octopus, grope, soda"
"claw, seize, pebbles"
"rope, drag, purse"
"woman, grab, oil"
"monkey, grab, hand"
"girl, vomit, pea"
"man, burn, ice"
"flea, bite, dog"
"woman, fry, turtle"
"girl, clench, bike"
"child, rotate, ball"
"knife, trim, house"
"elephant, squash, boat"
"tongue, lick, wound"
"stove, heat, air"
"glue, attach, sticker"
"cup, pour, cloud"
"dog, drop, cup"
"hand, fasten, rabbit"
"needle, poke, sink"
"man, chop, air"
"ice, freeze, rock"
"ant, shove, horse"
"leaf, erase, oil"
"ant, clench, closet"
"gorilla, ride, bowl"
"man, choke, bird"
"book, trim, rabbit"
"man, sew, curtain"
"donkey, kick, mud"
"woman, exhale, water"
"cat, destroy, hat"
"man, feed, pebbles"
"finger, tap, plane"
"glue, fuse, wind"
"chef, create, moon"
"chef, halt, oil"
"water, dampen, oil"
"bear, smash, glass"
"boy, punch, girl"
"skyscraper, heat, air"
"pitcher, pour, laptop"
"wool, crush, rock"
"knife, sharpen, glass"
"girl, enter, cup"
"cream, pierce, tongue"
"dolphin, burn, cloth"
"knife, chop, tree"
"horse, tackle, turtle"
"scissors, poke, finger"
"bug, curb, lion"
"pipe, drain, lake"
"dog, carry, scissors"
"man, shake, door"
"chef, fish, house"
"ice, cool, girl"
"girl, cook, fish"
"barge, capsize, basket"
"rock, fracture, shirt"
"knife, chop, rock"
"sword, fracture, air"
"dog, create, bread"
"atom, punch, wall"
"truck, move, tree"
"wind, mask, laptop"
"man, kick, rain"
"clown, catch, baboon"
"clown, sew, paper"
"boat, hurl, house"
"man, drop, skyscraper"
"boat, hurl, ship"
"man, grip, brush"
"cup, pour, milk"
"cat, vomit, infant"
"cat, knit, shirt"
"child, create, table"
"hand, rotate, log"
"child, pack, truck"
"rabbit, seize, elephant"
"chef, lengthen, rubber"
"boat, breed, baboon"
"gorilla, puff, vapor"
"cloth, erase, house"
"robot, drive, boat"
"knife, peel, banana"
"dog, haul, wind"
