verb,object,label
abandon,car,1.0
accept,award,1.0
accept,category,1.0
accompany,person,1.0
address,person,1.0
admire,blossom,1.0
admire,sunset,1.0
admire,view,1.0
advance,ball,1.0
appear,stage,1.0
appear,portrait,1.0
appear,cover,1.0
appear,person,1.0
appear,premiere,1.0
appear,character,1.0
appear,award,1.0
appear,celebration,1.0
appear,film,1.0
applaud,fan,1.0
applaud,crowd,1.0
apply,lipstick,1.0
approach,city,1.0
approach,groom,1.0
approach,station,1.0
approach,bridge,1.0
argue,person,1.0
argue,call,1.0
argue,coach,1.0
arrange,flower,1.0
arrive,event,1.0
arrive,celebration,1.0
arrive,festival,1.0
arrive,beach,1.0
arrive,flight,1.0
arrive,person,1.0
arrive,car,1.0
arrive,church,1.0
arrive,dress,1.0
arrive,ceremony,1.0
arrive,city,1.0
arrive,concert,1.0
arrive,game,1.0
arrive,platform,1.0
arrive,summit,1.0
arrive,debut,1.0
arrive,harbour,1.0
arrive,launch,1.0
arrive,night,1.0
arrive,reception,1.0
arrive,father,1.0
arrive,party,1.0
arrive,screening,1.0
arrive,unveiling,1.0
assist,patient,1.0
assist,person,1.0
assist,student,1.0
attend,event,1.0
attend,ceremony,1.0
attend,celebration,1.0
attend,show,1.0
attend,gala,1.0
attend,computer,1.0
attend,vigil,1.0
attend,carpet,1.0
attend,concert,1.0
attend,day,1.0
attend,premiere,1.0
attend,afterparty,1.0
attend,film,1.0
attend,meeting,1.0
attend,screening,1.0
attend,season,1.0
attend,dinner,1.0
attend,evening,1.0
attend,festival,1.0
attend,session,1.0
attend,star,1.0
attend,summit,1.0
attend,award,1.0
attend,category,1.0
attend,opening,1.0
attend,parade,1.0
attend,patient,1.0
back,player,1.0
bathe,bridge,1.0
bathe,river,1.0
battle,ball,1.0
be,actor,1.0
be,dog,1.0
be,event,1.0
be,festival,1.0
be,window,1.0
be,work,1.0
be,display,1.0
be,dress,1.0
be,home,1.0
be,jacket,1.0
be,player,1.0
be,suit,1.0
beach,shore,1.0
beach,harbour,1.0
bear,shirt,1.0
beat,team,1.0
beat,person,1.0
bend,tree,1.0
bend,wind,1.0
block,road,1.0
block,shot,1.0
block,game,1.0
block,ball,1.0
blow,snow,1.0
blow,balloon,1.0
blow,bubble,1.0
blow,breeze,1.0
blow,field,1.0
bob,wave,1.0
boot,ball,1.0
bounce,ball,1.0
bow,head,1.0
bowl,match,1.0
break,cloud,1.0
break,bat,1.0
break,coastline,1.0
break,pass,1.0
break,shoreline,1.0
break,tree,1.0
break,beach,1.0
break,pier,1.0
break,player,1.0
break,run,1.0
break,shore,1.0
break,egg,1.0
break,fog,1.0
break,rock,1.0
break,tackle,1.0
brew,potion,1.0
bring,ball,1.0
bring,dog,1.0
bring,photo,1.0
brush,hair,1.0
build,castle,1.0
build,wall,1.0
build,snowman,1.0
bump,ball,1.0
burn,street,1.0
buy,food,1.0
buy,vegetable,1.0
buy,bread,1.0
buy,flower,1.0
buy,fruit,1.0
buy,car,1.0
call,it,1.0
call,ball,1.0
call,play,1.0
canoe,river,1.0
capture,shot,1.0
capture,picture,1.0
capture,person,1.0
capture,image,1.0
capture,photo,1.0
carry,daughter,1.0
carry,dog,1.0
carry,water,1.0
carry,ball,1.0
carry,surfboard,1.0
carry,woman,1.0
carry,book,1.0
