verb,subject,label
abandon,person,1.0
accept,entertainer,1.0
accept,comedian,1.0
accept,artist,1.0
accept,player,1.0
act,actor,1.0
admire,man,1.0
admire,person,1.0
admire,woman,1.0
admire,hiker,1.0
advance,player,1.0
appear,person,1.0
appear,actor,1.0
appear,artist,1.0
applaud,person,1.0
applaud,player,1.0
applaud,footballer,1.0
apply,woman,1.0
approach,train,1.0
approach,boat,1.0
approach,bride,1.0
approach,ship,1.0
argue,coach,1.0
argue,couple,1.0
arrange,woman,1.0
arrive,person,1.0
arrive,actor,1.0
arrive,artist,1.0
arrive,actress,1.0
arrive,bride,1.0
arrive,dancer,1.0
arrive,passenger,1.0
arrive,character,1.0
arrive,singer,1.0
arrive,boxer,1.0
arrive,cinematographer,1.0
arrive,journalist,1.0
arrive,man,1.0
arrive,ship,1.0
arrive,comedian,1.0
arrive,composer,1.0
arrive,dramatist,1.0
arrive,musician,1.0
arrive,scriptwriter,1.0
arrive,star,1.0
arrive,wave,1.0
arrive,writer,1.0
attend,actor,1.0
attend,artist,1.0
attend,player,1.0
attend,fan,1.0
attend,musician,1.0
attend,politician,1.0
attend,athlete,1.0
attend,boxer,1.0
attend,nurse,1.0
attend,student,1.0
attend,supermodel,1.0
attend,team,1.0
back,player,1.0
balance,man,1.0
balance,player,1.0
bathe,person,1.0
battle,player,1.0
be,person,1.0
be,actor,1.0
be,girl,1.0
be,dog,1.0
be,footballer,1.0
be,player,1.0
beach,boat,1.0
bear,man,1.0
beat,wave,1.0
beg,woman,1.0
bend,tree,1.0
bend,wind,1.0
bike,man,1.0
block,car,1.0
block,tree,1.0
block,winner,1.0
blow,girl,1.0
blow,boy,1.0
blow,woman,1.0
blow,petal,1.0
blow,field,1.0
blow,tree,1.0
bob,boat,1.0
boot,person,1.0
bounce,player,1.0
bow,person,1.0
bowl,person,1.0
bowl,player,1.0
break,wave,1.0
break,sun,1.0
break,player,1.0
break,person,1.0
break,hand,1.0
break,man,1.0
brew,witch,1.0
bring,person,1.0
bring,athlete,1.0
brush,woman,1.0
build,child,1.0
build,man,1.0
bump,person,1.0
burn,car,1.0
burn,candle,1.0
buy,man,1.0
call,player,1.0
canoe,person,1.0
carry,man,1.0
carry,woman,1.0
carry,person,1.0
carry,mother,1.0
carry,girl,1.0
carry,father,1.0
carry,player,1.0
carry,boy,1.0
carry,athlete,1.0
carry,team,1.0
carry,bride,1.0
carry,groom,1.0
carry,student,1.0
carry,dog,1.0
carry,member,1.0
carry,protester,1.0
carve,woman,1.0
carve,sculpture,1.0
cast,fisherman,1.0
cast,man,1.0
catch,player,1.0
catch,person,1.0
catch,man,1.0
catch,dog,1.0
catch,athlete,1.0
catch,goalkeeper,1.0
celebrate,player,1.0
celebrate,person,1.0
celebrate,footballer,1.0
celebrate,coach,1.0
celebrate,fan,1.0
celebrate,friend,1.0
chain,bicycle,1.0
change,person,1.0
change,player,1.0
change,tree,1.0
charge,car,1.0
charge,person,1.0
chase,player,1.0
chase,athlete,1.0
check,woman,1.0
check,person,1.0
check,girl,1.0
check,doctor,1.0
cheer,person,1.0
cheer,fan,1.0
chew,cow,1.0
chip,player,1.0
chip,golfer,1.0
choose,woman,1.0
choose,man,1.0
choose,girl,1.0
choose,student,1.0
chop,person,1.0
chop,man,1.0
chop,woman,1.0
clap,person,1.0
clash,fan,1.0
clean,woman,1.0
clean,man,1.0
clean,girl,1.0
clear,woman,1.0
clear,person,1.0
climb,girl,1.0
climb,woman,1.0
climb,person,1.0
climb,species,1.0
climb,child,1.0
climb,couple,1.0
close,person,1.0
close,woman,1.0
close,player,1.0
coach,player,1.0
coach,person,1.0
coat,snow,1.0
collaborate,student,1.0
collect,person,1.0
collect,child,1.0
collect,bee,1.0
collect,woman,1.0
collect,artist,1.0
comb,girl,1.0
comb,woman,1.0
comb,hairdresser,1.0
come,person,1.0
come,ferry,1.0
come,sun,1.0
come,team,1.0
come,train,1.0
come,wave,1.0
comfort,man,1.0
communicate,person,1.0
compete,person,1.0
compete,player,1.0
compete,athlete,1.0
congratulate,player,1.0
congratulate,coach,1.0
congratulate,person,1.0
congratulate,team,1.0
connect,athlete,1.0
connect,bridge,1.0
console,man,1.0
consult,doctor,1.0
cook,man,1.0
cook,woman,1.0
cook,food,1.0
cook,person,1.0
cook,chef,1.0
cool,person,1.0
count,hand,1.0
count,man,1.0
count,woman,1.0
cover,woman,1.0
cover,girl,1.0
cover,cloud,1.0
cover,person,1.0
cover,tree,1.0
crack,hand,1.0
crash,wave,1.0
crash,person,1.0
crawl,person,1.0
crawl,baby,1.0
crawl,girl,1.0
crawl,species,1.0
create,person,1.0
cross,person,1.0
cross,woman,1.0
cross,child,1.0
cross,girl,1.0
cross,car,1.0
cross,cloud,1.0
cross,lady,1.0
cross,athlete,1.0
cross,businessman,1.0
cross,couple,1.0
cross,actor,1.0
cross,player,1.0
cross,arm,1.0
cross,crowd,1.0
cross,boat,1.0
cross,bride,1.0
cross,cyclist,1.0
cross,boy,1.0
crowd,person,1.0
cruise,boat,1.0
crush,wave,1.0
cuddle,couple,1.0
cut,woman,1.0
cut,man,1.0
cut,person,1.0
cut,tree,1.0
cut,hand,1.0
cut,girl,1.0
cut,chef,1.0
cycle,man,1.0
cycle,person,1.0
dance,person,1.0
dance,woman,1.0
dance,man,1.0
dance,couple,1.0
dance,friend,1.0
dance,beach,1.0
dance,family,1.0
dance,actor,1.0
dazzle,person,1.0
decorate,woman,1.0
decorate,girl,1.0
decorate,man,1.0
decorate,house,1.0
defend,player,1.0
defend,person,1.0
deflect,person,1.0
deject,player,1.0
deliver,player,1.0
depart,actor,1.0
depart,train,1.0
depart,boat,1.0
depart,ship,1.0
depict,painting,1.0
deteriorate,grape,1.0
dip,person,1.0
direct,person,1.0
direct,player,1.0
direct,coach,1.0
direct,film,1.0
display,person,1.0
display,fan,1.0
display,woman,1.0
display,tree,1.0
dissolve,cloud,1.0
dive,person,1.0
dive,player,1.0
dive,man,1.0
dock,boat,1.0
dock,ship,1.0
dock,yacht,1.0
don,person,1.0
draw,boat,1.0
draw,person,1.0
dress,girl,1.0
dress,person,1.0
dress,woman,1.0
drift,cloud,1.0
drift,boat,1.0
drive,woman,1.0
drive,girl,1.0
drive,child,1.0
drive,actor,1.0
drive,boy,1.0
drive,businessman,1.0
drive,couple,1.0
drive,motorcycle,1.0
drive,fisherman,1.0
drive,truck,1.0
drive,vehicle,1.0
drive,cowgirl,1.0
drop,strawberry,1.0
drop,player,1.0
dunk,player,1.0
dye,person,1.0
earn,person,1.0
eat,girl,1.0
edge,player,1.0
embrace,couple,1.0
embrace,man,1.0
embrace,mother,1.0
embrace,woman,1.0
embrace,player,1.0
embrace,girl,1.0
embrace,groom,1.0
emerge,train,1.0
encourage,person,1.0
encourage,coach,1.0
enjoy,girl,1.0
enjoy,woman,1.0
enjoy,child,1.0
enjoy,couple,1.0
enjoy,player,1.0
enter,person,1.0
enter,player,1.0
enter,boat,1.0
enter,surfer,1.0
enter,train,1.0
entertain,person,1.0
entertain,artist,1.0
evade,person,1.0
exercise,man,1.0
exercise,player,1.0
exercise,woman,1.0
exit,bride,1.0
exit,person,1.0
expect,woman,1.0
expect,couple,1.0
face,player,1.0
face,team,1.0
fall,tree,1.0
fall,player,1.0
fall,species,1.0
fall,water,1.0
feed,woman,1.0
feed,father,1.0
feed,girl,1.0
feed,mother,1.0
fetch,dog,1.0
fetch,woman,1.0
fight,player,1.0
fight,footballer,1.0
fight,boxer,1.0
fight,firefighter,1.0
fire,player,1.0
fit,hand,1.0
fix,fisherman,1.0
flaunt,actor,1.0
flex,man,1.0
flip,woman,1.0
flip,player,1.0
float,person,1.0
float,duck,1.0
float,swan,1.0
float,umbrella,1.0
float,cloud,1.0
float,grass,1.0
float,wing,1.0
float,boy,1.0
flood,person,1.0
flop,person,1.0
flow,water,1.0
flow,moon,1.0
flutter,flag,1.0
fly,person,1.0
fly,girl,1.0
fly,bird,1.0
fly,flag,1.0
fly,beach,1.0
fly,duck,1.0
fly,seagull,1.0
fly,balloon,1.0
fly,boy,1.0
fly,species,1.0
fly,bee,1.0
fold,person,1.0
follow,person,1.0
follow,fan,1.0
form,hand,1.0
fumble,player,1.0
gallop,horse,1.0
gallop,girl,1.0
gallop,animal,1.0
gallop,woman,1.0
gallop,species,1.0
gather,person,1.0
gather,player,1.0
gather,athlete,1.0
gather,bee,1.0
gather,cloud,1.0
gather,footballer,1.0
get,person,1.0
get,player,1.0
get,bride,1.0
get,woman,1.0
get,businessman,1.0
get,actor,1.0
get,man,1.0
get,passenger,1.0
get,bird,1.0
give,man,1.0
give,woman,1.0
glow,person,1.0
glow,sun,1.0
go,person,1.0
go,car,1.0
go,train,1.0
go,athlete,1.0
go,man,1.0
go,woman,1.0
go,actor,1.0
go,artist,1.0
go,celebrity,1.0
go,baby,1.0
go,cyclist,1.0
grab,person,1.0
grab,player,1.0
greet,person,1.0
greet,player,1.0
greet,athlete,1.0
greet,coach,1.0
greet,politician,1.0
greet,fan,1.0
grow,tree,1.0
grow,person,1.0
grow,grape,1.0
grow,lemon,1.0
grow,species,1.0
grow,tomato,1.0
guard,player,1.0
gush,water,1.0
hand,person,1.0
hang,person,1.0
hang,girl,1.0
hang,flag,1.0
hang,species,1.0
hang,woman,1.0
hang,monkey,1.0
hang,bicycle,1.0
hang,friend,1.0
hang,lemon,1.0
hang,pear,1.0
hang,spider,1.0
hang,umbrella,1.0
hang,art,1.0
hang,hammock,1.0
haul,fisherman,1.0
haul,boat,1.0
haul,person,1.0
haul,player,1.0
have,person,1.0
head,person,1.0
head,player,1.0
head,defender,1.0
head,footballer,1.0
head,train,1.0
